example_id,chapter,verse,instruction,input,expected_output,generated_output,inference_time_sec,output_length
1,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
श्रीभगवानुवाच |
बहूनि मे व्यतीतानि जन्मानि तव चार्जुन |
तान्यहं वेद सर्वाणि न त्वं वेत्थ परन्तप ||४-५||

Transliteration:
śrībhagavānuvāca .
bahūni me vyatītāni janmāni tava cārjuna .
tānyahaṃ veda sarvāṇi na tvaṃ vettha parantapa ||4-5||","4.5 The Blessed Lord said  Many births of Mine have passed as well as of thine, O Arjuna; I know them all but thou knowest not, O Parantapa (scorcher of foes).","4.5 The Blessed Lord said  Many a births have I passed through, O Arjuna, and so have you; I know them all, but thou knowest not, O son of Pritha.",5.91,30
2,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
न मे विदुः सुरगणाः प्रभवं न महर्षयः |
अहमादिर्हि देवानां महर्षीणां च सर्वशः ||१०-२||

Transliteration:
na me viduḥ suragaṇāḥ prabhavaṃ na maharṣayaḥ .
ahamādirhi devānāṃ maharṣīṇāṃ ca sarvaśaḥ ||10-2||",10.2 Neither the hosts of the gods nor the great sages know My origin; for in every way I am the source of all the gods and the great sages.,"10.2 Neither do the gods know My origin nor do the great sages (Rishis). For, I am the beginning of the gods and of the great sages in every way.",11.38,30
3,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
अर्जुन उवाच |
दृष्ट्वेदं मानुषं रूपं तव सौम्यं जनार्दन |
इदानीमस्मि संवृत्तः सचेताः प्रकृतिं गतः ||११-५१||

Transliteration:
arjuna uvāca .
dṛṣṭvedaṃ mānuṣaṃ rūpaṃ tava saumyaṃ janārdana .
idānīmasmi saṃvṛttaḥ sacetāḥ prakṛtiṃ gataḥ ||11-51||","11.51 Arjuna said  Having seen this Thy gentle human form, O Krishna, now I am composed and am restored to my own nature.","11.51 Arjuna said  Having seen this wonderful human form of Thy, O Janardana, so full of mercy, I am now, O most merciful One,  drawn by Thy beauty and filled with love, and carried away by my nature.

2.1.11 Arjuna said  O Krishna! O Janardana! O Lord of all beings! O Supreme Being! O Purushottama (Supreme Self)! O Lord of the universe! This is what I hear from all  that the Yogis, ascetics and sages,",11.26,75
4,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
कृषिगौरक्ष्यवाणिज्यं वैश्यकर्म स्वभावजम् |
परिचर्यात्मकं कर्म शूद्रस्यापि स्वभावजम् ||१८-४४||

Transliteration:
kṛṣigaurakṣyavāṇijyaṃ vaiśyakarma svabhāvajam .
paricaryātmakaṃ karma śūdrasyāpi svabhāvajam ||18-44||","18.44 Agriculture, cattle-rearing and trade are the duties of the Vaisya (merchant), born of (their own) nature; and action consisting of service is the duty of the Sudra (servant-class), born of (their own) nature.","18.44 Agriculture, cow-protection, trade (business), this (the occupation of a Vaisya) is by nature; service (or) menial labour is also by nature the occupation of a Shudra.",11.05,27
5,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
विषयेन्द्रियसंयोगाद्यत्तदग्रेऽमृतोपमम् |
परिणामे विषमिव तत्सुखं राजसं स्मृतम् ||१८-३८||

Transliteration:
viṣayendriyasaṃyogādyattadagre.amṛtopamam .
pariṇāme viṣamiva tatsukhaṃ rājasaṃ smṛtam ||18-38||","18.38 That happiness which arises from the contact of the sense-organs with the objects, which is at first like nectar, and in the end like poison  that is declared to be Rajasic.","Swami Sivananda did commentary on this verse in his work Aphorisms of Bhagavad Gita. (The full text is available here: https://vedasecret.com/bhagavad-gita-swami-sivananda)

18.38 That happiness which arises from the union of the senses with their object, which is declared to be like nectar (the Supreme Bliss) in the beginning, is now declared to be Rajasic or passional. (It is) like poison. (This Rajasic or passional happiness arises",10.89,66
6,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
यः सर्वत्रानभिस्नेहस्तत्तत्प्राप्य शुभाशुभम् |
नाभिनन्दति न द्वेष्टि तस्य प्रज्ञा प्रतिष्ठिता ||२-५७||

Transliteration:
yaḥ sarvatrānabhisnehastattatprāpya śubhāśubham .
nābhinandati na dveṣṭi tasya prajñā pratiṣṭhitā ||2-57||","2.57 He who is everywhere without attachment, on meeting with anything good or bad, who neither rejoices not hastes, his wisdom is fixed.","2.57 He whose love is spread all over and who rejoices in success and failure alike, his wisdom is established.

2.57 He whose heart is filled with love everywhere, and who does not rejoice or hate success and failure, is possessed of wisdom.",10.94,43
7,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
ईश्वरः सर्वभूतानां हृद्देशेऽर्जुन तिष्ठति |
भ्रामयन्सर्वभूतानि यन्त्रारूढानि मायया ||१८-६१||

Transliteration:
īśvaraḥ sarvabhūtānāṃ hṛddeśe.arjuna tiṣṭhati .
bhrāmayansarvabhūtāni yantrārūḍhāni māyayā ||18-61||","18.61 The Lord dwells in the hearts of all beings, O Arjuna, causing all beings, by His illusive power, to revolve as if mounted on a machine.","18.61 The Lord dwells in the midst of the heart of all beings, Arjuna, 
turning round all beings sitting in the womb of the ïla of Maya.",10.61,27
8,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
भयाद्रणादुपरतं मंस्यन्ते त्वां महारथाः |
येषां च त्वं बहुमतो भूत्वा यास्यसि लाघवम् ||२-३५||

Transliteration:
bhayādraṇāduparataṃ maṃsyante tvāṃ mahārathāḥ .
yeṣāṃ ca tvaṃ bahumato bhūtvā yāsyasi lāghavam ||2-35||",2.35 The great car-warriors will think that thou hast withdrawn from the battle through fear; and thou wilt be lightly held by them who have thought much of thee.,"2.35 It is because of fear, O Thou of limitless power, that the mighty warriors, who are many-headed and whose heads thou wilt swallow, will bite and bite.

2.35 न तु स्वर्गलोकेषु वा मद्भाष्यं
व्यजायते विविधानपेक्षया |
भृशं चिष्डन्तः शठ",10.23,40
9,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
तेषां ज्ञानी नित्ययुक्त एकभक्तिर्विशिष्यते |
प्रियो हि ज्ञानिनोऽत्यर्थमहं स च मम प्रियः ||७-१७||

Transliteration:
teṣāṃ jñānī nityayukta ekabhaktirviśiṣyate .
priyo hi jñānino.atyarthamahaṃ sa ca mama priyaḥ ||7-17||","7.17 Of them the wise, ever steadfast and devoted to the One, excels (is the best); for I am exceedingly dear to the wise and he is dear to Me.","7.17 Of these, one is ever steadfast, and the wise man excels in that  he loves Me more than himself, My dear; for him I have declared that he is My favourite.",10.25,32
10,,,"Explain the meaning of the following Bhagavad Gita verse in simple, modern English. Keep the explanation concise (2-4 sentences) and mention any key context if relevant.","Original (Sanskrit):
श्रीभगवानुवाच |
अनाश्रितः कर्मफलं कार्यं कर्म करोति यः |
स संन्यासी च योगी च न निरग्निर्न चाक्रियः ||६-१||

Transliteration:
śrībhagavānuvāca .
anāśritaḥ karmaphalaṃ kāryaṃ karma karoti yaḥ .
sa saṃnyāsī ca yogī ca na niragnirna cākriyaḥ ||6-1||",6.1 The Blessed Lord said  He who performs his bounden duty without depending on the fruits of his actions  he is a Sannyasi and a Yogi; not he who is without fire and without action.,"6.1 The Blessed Lord said  He who performs action, leaving aside the fruits thereof, regarding mere action as duty, he who  is an ascetic and a Yogi, as well as a non-attached, is not a non-doer.",10.09,36
